Extinction_Coefficient,CAtomCount,TotalAtomCount,HAtomCount,Class
3801.893963,10,18,8,low
5370.317964,13,30,16,low
5623.413252,12,27,14,low
5495.408739,16,39,22,low
6025.595861,16,39,22,low
5754.399373,20,51,30,low
7413.102413,16,42,24,low
7244.359601,14,36,20,low
8128.305162,22,60,36,low
5128.61384,14,34,18,low
7585.77575,14,31,15,low
6606.93448,14,31,15,low
13489.62883,15,32,16,low
44668.35922,20,46,24,low
